artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,ID,Gender,Age,Country,Genres,Followers,URI
Paloma Faith,Only Love Can Hurt Like This,232893,FALSE,2014,80,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97E-05,0.334,0.304,90.99,"pop, R&B, Dance/Electronic",4fwuXg6XQHfdlOdmw36OHa,female,39,GB,"['british soul', 'talent show', 'uk pop']",1222779,spotify:artist:4fwuXg6XQHfdlOdmw36OHa
Fat Joe,Make It Rain,247413,TRUE,2006,59,0.744,0.697,11,-5.063,0,0.197,0.0106,0,0.0842,0.767,149.28,"hip hop, pop",3ScY9CQxNLQei8Umvpx5g6,male,49,US,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",1728319,spotify:artist:3ScY9CQxNLQei8Umvpx5g6
Alesso,Heroes (we could be),209866,FALSE,2014,52,0.521,0.754,5,-4.144,1,0.0634,0.0373,0,0.239,0.352,125.876,"pop, Dance/Electronic",4AVFqumd2ogHFlRbKIjp1t,male,29,SE,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",3982148,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
Shawn Mendes,Stitches,206880,FALSE,2015,78,0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,pop,7n2wHs1TKAczGzO7Dd2rGr,male,21,CA,"['canadian pop', 'pop', 'viral pop']",42978639,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
6ix9ine,FEFE,179404,TRUE,2018,42,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,hip hop,7gZfnEnfiaHzxARJ2LeXrf,male,24,US,['emo rap'],6974823,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf
Fall Out Boy,"Dance, Dance",180266,FALSE,2005,74,0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,rock,4UXqAaa6dQYAk18Lv7PEgX,mixed,19,US,"['emo', 'modern rock', 'pop', 'rock']",10453224,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
Scouting For Girls,This Ain't a Love Song,210680,FALSE,2017,52,0.458,0.905,0,-4.157,1,0.0451,0.000431,0,0.378,0.553,176.667,"pop, rock",2wpJOPmf1TIOzrB9mzHifd,mixed,15,GB,['talent show'],345279,spotify:artist:2wpJOPmf1TIOzrB9mzHifd
will.i.am,This Is Love,279026,FALSE,2013,62,0.535,0.796,0,-3.446,0,0.0445,0.00473,0,0.145,0.282,128.954,"hip hop, pop",085pc2PYOi8bGKj0PNjekA,male,45,US,"['dance pop', 'pop']",4173850,spotify:artist:085pc2PYOi8bGKj0PNjekA
Jonas Brothers,Only Human,183000,FALSE,2019,71,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,pop,7gOdHgIoIKoe4i9Tta6qdD,mixed,15,US,"['boy band', 'pop']",7376219,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD
Drake,I'm Upset,214466,TRUE,2018,68,0.899,0.586,11,-7.866,0,0.343,0.279,0,0.0836,0.492,150.002,"hip hop, pop, R&B",3TVXtAsR1Inumwj472S9r4,male,33,CA,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83298497,spotify:artist:3TVXtAsR1Inumwj472S9r4
Akon,I Wanna Love You,247066,TRUE,2006,53,0.865,0.45,0,-9.387,1,0.0417,0.0359,1.28E-06,0.308,0.352,99.989,pop,0z4gvV4rjIZ9wHck67ucSV,male,47,SN,['dance pop'],4174340,spotify:artist:0z4gvV4rjIZ9wHck67ucSV
David Guetta,Memories (feat. Kid Cudi),210853,FALSE,2010,76,0.546,0.916,8,-3.932,1,0.255,0.00144,4.34E-06,0.251,0.375,129.983,"hip hop, pop, Dance/Electronic",1Cs0zKBU1kc0i8ypK3B9ai,male,52,FR,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26584415,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Kendrick Lamar,HUMBLE.,177000,TRUE,2017,0,0.906,0.625,1,-6.779,0,0.0903,0.000243,3.23E-05,0.0975,0.423,150.018,hip hop,2YZyLoL8N0Wb9xBt1NhZWg,male,33,US,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",26350123,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Daddy Yankee,Con Calma,193226,FALSE,2019,79,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,latin,4VMYDCV2IEDYJArk749S6m,male,43,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",34243502,spotify:artist:4VMYDCV2IEDYJArk749S6m
Lana Del Rey,High By The Beach,257573,TRUE,2015,67,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,pop,00FQb4jTyendYWaN8pK0wa,female,35,US,"['art pop', 'pop']",30603103,spotify:artist:00FQb4jTyendYWaN8pK0wa
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,TRUE,2001,55,0.697,0.793,6,-4.699,0,0.323,0.0844,0.00788,0.0619,0.56,89.767,"hip hop, pop",1YfEcTuGvBQ8xSD1f53UnK,male,48,US,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",2620656,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,214912,FALSE,2013,72,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53E-06,0.13,0.11,126.052,pop,00FQb4jTyendYWaN8pK0wa,female,35,US,"['art pop', 'pop']",30603103,spotify:artist:00FQb4jTyendYWaN8pK0wa
Leona Lewis,Better in Time,234173,FALSE,2007,67,0.584,0.7,6,-4.251,1,0.0506,0.512,2.43E-05,0.13,0.549,163.953,"pop, R&B",5lKZWd6HiSCLfnDGrq9RAm,female,35,GB,"['british soul', 'dance pop', 'pop', 'talent show']",3583308,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
